0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:24:50 +0530] "GET /Online_FIR_System/images/back.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:24:52 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17740
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:25:08 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17740
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:25:09 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17740
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:26:06 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17666
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:27:49 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17681
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:27:49 +0530] "GET /Online_FIR_System/images/back.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:28:58 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17756
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:30:05 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17767
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:30:05 +0530] "GET /Online_FIR_System/images/back.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:30:26 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17768
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:30:52 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17766
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:31:36 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17822
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:33:16 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:33:16 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 200 222169
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:33:17 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:34:33 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 17843
0:0:0:0:0:0:0:1 - - [20/Nov/2022:23:34:34 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 304 -
